| COD_UF_NASCIMENTO | UF_NASCIMENTO | COD_UF_RESIDENCIA | UF_RESIDENCIA | POPULACAO
LINESTRING(-51.62130 -24.63262 , -40.67183 -19.57655 )| 32| Espirito Santo | 41| Parana | 14457
LINESTRING(-51.62131 -24.63263 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 41| Parana | 35633
LINESTRING(-51.62132 -24.63264 , -48.72468 -22.27655 )| 35| Sao Paulo | 41| Parana | 552191
LINESTRING(-51.62133 -24.63265 , -50.49239 -27.24414 )| 42| Santa Catarina | 41| Parana | 296354
LINESTRING(-51.62134 -24.63266 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 41| Parana | 279758
LINESTRING(-51.62135 -24.63267 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 41| Parana | 35758
LINESTRING(-51.62136 -24.63268 , -55.90972 -12.94403 )| 51| Mato Grosso | 41| Parana | 25414
LINESTRING(-51.62137 -24.63269 , -49.61787 -16.03579 )| 52| Goias | 41| Parana | 7659
LINESTRING(-51.62138 -24.63270 , -47.7973 -15.78271 )| 53| Distrito Federal | 41| Parana | 4057
LINESTRING(-50.49239 -27.24414 , -62.83912 -10.91219 )| 11| Rondonia | 42| Santa Catarina | 2804
LINESTRING(-50.49240 -27.24415 , -70.44996 -9.30596 )| 12| Acre | 42| Santa Catarina | 529
LINESTRING(-50.49241 -27.24416 , -64.69338 -4.18811 )| 13| Amazonas | 42| Santa Catarina | 1335
LINESTRING(-50.49242 -27.24417 , -61.39542 2.08035 )| 14| Roraima | 42| Santa Catarina | 2082
LINESTRING(-50.49243 -27.24418 , -53.08359 -3.94833 )| 15| Para | 42| Santa Catarina | 5275
LINESTRING(-50.49244 -27.24419 , -51.93312 1.46375 )| 16| Amapa | 42| Santa Catarina | 228
LINESTRING(-50.49245 -27.24420 , -48.31198 -10.1507 )| 17| Tocantins | 42| Santa Catarina | 736
LINESTRING(-50.49246 -27.24421 , -45.27821 -5.07629 )| 21| Maranhao | 42| Santa Catarina | 4670
LINESTRING(-50.49247 -27.24422 , -42.96225 -7.36778 )| 22| Piaui | 42| Santa Catarina | 3804
LINESTRING(-50.49248 -27.24423 , -39.6022 -5.1071 )| 23| Ceara | 42| Santa Catarina | 11319
LINESTRING(-50.49249 -27.24424 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 42| Santa Catarina | 2980
LINESTRING(-50.49250 -27.24425 , -36.83167 -7.12048 )| 25| Paraiba | 42| Santa Catarina | 4889
LINESTRING(-50.49251 -27.24426 , -37.97914 -8.32349 )| 26| Pernambuco | 42| Santa Catarina | 9693
LINESTRING(-50.49252 -27.24427 , -36.62442 -9.51445 )| 27| Alagoas | 42| Santa Catarina | 4227
LINESTRING(-50.49253 -27.24428 , -37.44905 -10.58073 )| 28| Sergipe | 42| Santa Catarina | 2142
LINESTRING(-50.49254 -27.24429 , -41.70232 -12.46848 )| 29| Bahia | 42| Santa Catarina | 15550
LINESTRING(-50.49255 -27.24430 , -44.6785 -18.46074 )| 31| Minas Gerais | 42| Santa Catarina | 20118
LINESTRING(-50.49256 -27.24431 , -40.67183 -19.57655 )| 32| Espirito Santo | 42| Santa Catarina | 2802
LINESTRING(-50.49257 -27.24432 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 42| Santa Catarina | 25535
LINESTRING(-50.49258 -27.24433 , -48.72468 -22.27655 )| 35| Sao Paulo | 42| Santa Catarina | 99395
LINESTRING(-50.49259 -27.24434 , -51.62113 -24.63245 )| 41| Parana | 42| Santa Catarina | 411178
LINESTRING(-50.49260 -27.24435 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 42| Santa Catarina | 422139
LINESTRING(-50.49261 -27.24436 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 42| Santa Catarina | 9909
LINESTRING(-50.49262 -27.24437 , -55.90972 -12.94403 )| 51| Mato Grosso | 42| Santa Catarina | 7997
LINESTRING(-50.49263 -27.24438 , -49.61787 -16.03579 )| 52| Goias | 42| Santa Catarina | 3772
LINESTRING(-50.49264 -27.24439 , -47.7973 -15.78271 )| 53| Distrito Federal | 42| Santa Catarina | 3098
LINESTRING(-53.32019 -29.70615 , -62.83912 -10.91219 )| 11| Rondonia | 43| Rio Grande do Sul | 1354
LINESTRING(-53.32020 -29.70616 , -70.44996 -9.30596 )| 12| Acre | 43| Rio Grande do Sul | 348
LINESTRING(-53.32021 -29.70617 , -64.69338 -4.18811 )| 13| Amazonas | 43| Rio Grande do Sul | 1646
LINESTRING(-53.32022 -29.70618 , -61.39542 2.08035 )| 14| Roraima | 43| Rio Grande do Sul | 386
LINESTRING(-53.32023 -29.70619 , -53.08359 -3.94833 )| 15| Para | 43| Rio Grande do Sul | 3261
LINESTRING(-53.32024 -29.70620 , -51.93312 1.46375 )| 16| Amapa | 43| Rio Grande do Sul | 157
LINESTRING(-53.32025 -29.70621 , -48.31198 -10.1507 )| 17| Tocantins | 43| Rio Grande do Sul | 705
LINESTRING(-53.32026 -29.70622 , -45.27821 -5.07629 )| 21| Maranhao | 43| Rio Grande do Sul | 2656
LINESTRING(-53.32027 -29.70623 , -42.96225 -7.36778 )| 22| Piaui | 43| Rio Grande do Sul | 2310
LINESTRING(-53.32028 -29.70624 , -39.6022 -5.1071 )| 23| Ceara | 43| Rio Grande do Sul | 7662
LINESTRING(-53.32029 -29.70625 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 43| Rio Grande do Sul | 2072
LINESTRING(-53.32030 -29.70626 , -36.83167 -7.12048 )| 25| Paraiba | 43| Rio Grande do Sul | 2459
LINESTRING(-53.32031 -29.70627 , -37.97914 -8.32349 )| 26| Pernambuco | 43| Rio Grande do Sul | 4668
LINESTRING(-53.32032 -29.70628 , -36.62442 -9.51445 )| 27| Alagoas | 43| Rio Grande do Sul | 1153
LINESTRING(-53.32033 -29.70629 , -37.44905 -10.58073 )| 28| Sergipe | 43| Rio Grande do Sul | 973
LINESTRING(-53.32034 -29.70630 , -41.70232 -12.46848 )| 29| Bahia | 43| Rio Grande do Sul | 6682
LINESTRING(-53.32035 -29.70631 , -44.6785 -18.46074 )| 31| Minas Gerais | 43| Rio Grande do Sul | 10013
LINESTRING(-53.32036 -29.70632 , -40.67183 -19.57655 )| 32| Espirito Santo | 43| Rio Grande do Sul | 1817
LINESTRING(-53.32037 -29.70633 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 43| Rio Grande do Sul | 18383
LINESTRING(-53.32038 -29.70634 , -48.72468 -22.27655 )| 35| Sao Paulo | 43| Rio Grande do Sul | 33068
LINESTRING(-53.32039 -29.70635 , -51.62113 -24.63245 )| 41| Parana | 43| Rio Grande do Sul | 72971
LINESTRING(-53.32040 -29.70636 , -50.49239 -27.24414 )| 42| Santa Catarina | 43| Rio Grande do Sul | 156509
LINESTRING(-53.32041 -29.70637 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 43| Rio Grande do Sul | 5805
LINESTRING(-53.32042 -29.70638 , -55.90972 -12.94403 )| 51| Mato Grosso | 43| Rio Grande do Sul | 4856
LINESTRING(-53.32043 -29.70639 , -49.61787 -16.03579 )| 52| Goias | 43| Rio Grande do Sul | 2743
LINESTRING(-53.32044 -29.70640 , -47.7973 -15.78271 )| 53| Distrito Federal | 43| Rio Grande do Sul | 2381
LINESTRING(-54.84446 -20.32699 , -62.83912 -10.91219 )| 11| Rondonia | 50| Mato Grosso do Sul | 5576
LINESTRING(-54.84447 -20.32700 , -70.44996 -9.30596 )| 12| Acre | 50| Mato Grosso do Sul | 708
LINESTRING(-54.84448 -20.32701 , -64.69338 -4.18811 )| 13| Amazonas | 50| Mato Grosso do Sul | 1273
LINESTRING(-54.84449 -20.32702 , -61.39542 2.08035 )| 14| Roraima | 50| Mato Grosso do Sul | 480
LINESTRING(-54.84450 -20.32703 , -53.08359 -3.94833 )| 15| Para | 50| Mato Grosso do Sul | 3196
LINESTRING(-54.84451 -20.32704 , -51.93312 1.46375 )| 16| Amapa | 50| Mato Grosso do Sul | 33
LINESTRING(-54.84452 -20.32705 , -48.31198 -10.1507 )| 17| Tocantins | 50| Mato Grosso do Sul | 908
LINESTRING(-54.84453 -20.32706 , -45.27821 -5.07629 )| 21| Maranhao | 50| Mato Grosso do Sul | 3734
LINESTRING(-54.84454 -20.32707 , -42.96225 -7.36778 )| 22| Piaui | 50| Mato Grosso do Sul | 4352
LINESTRING(-54.84455 -20.32708 , -39.6022 -5.1071 )| 23| Ceara | 50| Mato Grosso do Sul | 19398
LINESTRING(-54.84456 -20.32709 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 50| Mato Grosso do Sul | 3646
LINESTRING(-54.84457 -20.32710 , -36.83167 -7.12048 )| 25| Paraiba | 50| Mato Grosso do Sul | 6180
LINESTRING(-54.84458 -20.32711 , -37.97914 -8.32349 )| 26| Pernambuco | 50| Mato Grosso do Sul | 23217
LINESTRING(-54.84459 -20.32712 , -36.62442 -9.51445 )| 27| Alagoas | 50| Mato Grosso do Sul | 15968
LINESTRING(-54.84460 -20.32713 , -37.44905 -10.58073 )| 28| Sergipe | 50| Mato Grosso do Sul | 7198
LINESTRING(-54.84461 -20.32714 , -41.70232 -12.46848 )| 29| Bahia | 50| Mato Grosso do Sul | 24863
LINESTRING(-54.84462 -20.32715 , -44.6785 -18.46074 )| 31| Minas Gerais | 50| Mato Grosso do Sul | 39191
LINESTRING(-54.84463 -20.32716 , -40.67183 -19.57655 )| 32| Espirito Santo | 50| Mato Grosso do Sul | 2063
LINESTRING(-54.84464 -20.32717 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 50| Mato Grosso do Sul | 11212
LINESTRING(-54.84465 -20.32718 , -48.72468 -22.27655 )| 35| Sao Paulo | 50| Mato Grosso do Sul | 214946
LINESTRING(-54.84466 -20.32719 , -51.62113 -24.63245 )| 41| Parana | 50| Mato Grosso do Sul | 122668
LINESTRING(-54.84467 -20.32720 , -50.49239 -27.24414 )| 42| Santa Catarina | 50| Mato Grosso do Sul | 14462
LINESTRING(-54.84468 -20.32721 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 50| Mato Grosso do Sul | 37741
LINESTRING(-54.84469 -20.32722 , -55.90972 -12.94403 )| 51| Mato Grosso | 50| Mato Grosso do Sul | 30331
LINESTRING(-54.84470 -20.32723 , -49.61787 -16.03579 )| 52| Goias | 50| Mato Grosso do Sul | 14486
LINESTRING(-54.84471 -20.32724 , -47.7973 -15.78271 )| 53| Distrito Federal | 50| Mato Grosso do Sul | 1606
LINESTRING(-55.90972 -12.94403 , -62.83912 -10.91219 )| 11| Rondonia | 51| Mato Grosso | 38289
LINESTRING(-55.90973 -12.94404 , -70.44996 -9.30596 )| 12| Acre | 51| Mato Grosso | 2195
LINESTRING(-55.90974 -12.94405 , -64.69338 -4.18811 )| 13| Amazonas | 51| Mato Grosso | 2924
LINESTRING(-55.90975 -12.94406 , -61.39542 2.08035 )| 14| Roraima | 51| Mato Grosso | 1015
LINESTRING(-55.90976 -12.94407 , -53.08359 -3.94833 )| 15| Para | 51| Mato Grosso | 18743
LINESTRING(-55.90977 -12.94408 , -51.93312 1.46375 )| 16| Amapa | 51| Mato Grosso | 324
LINESTRING(-55.90978 -12.94409 , -48.31198 -10.1507 )| 17| Tocantins | 51| Mato Grosso | 13933
LINESTRING(-55.90979 -12.94410 , -45.27821 -5.07629 )| 21| Maranhao | 51| Mato Grosso | 55380
LINESTRING(-55.90980 -12.94411 , -42.96225 -7.36778 )| 22| Piaui | 51| Mato Grosso | 12864
LINESTRING(-55.90981 -12.94412 , -39.6022 -5.1071 )| 23| Ceara | 51| Mato Grosso | 20692
LINESTRING(-55.90982 -12.94413 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 51| Mato Grosso | 5845
LINESTRING(-55.90983 -12.94414 , -36.83167 -7.12048 )| 25| Paraiba | 51| Mato Grosso | 8362
LINESTRING(-55.90984 -12.94415 , -37.97914 -8.32349 )| 26| Pernambuco | 51| Mato Grosso | 21638
LINESTRING(-55.90985 -12.94416 , -36.62442 -9.51445 )| 27| Alagoas | 51| Mato Grosso | 25935
LINESTRING(-55.90986 -12.94417 , -37.44905 -10.58073 )| 28| Sergipe | 51| Mato Grosso | 6031
LINESTRING(-55.90987 -12.94418 , -41.70232 -12.46848 )| 29| Bahia | 51| Mato Grosso | 47674
LINESTRING(-55.90988 -12.94419 , -44.6785 -18.46074 )| 31| Minas Gerais | 51| Mato Grosso | 96821
LINESTRING(-55.90989 -12.94420 , -40.67183 -19.57655 )| 32| Espirito Santo | 51| Mato Grosso | 14505
LINESTRING(-55.90990 -12.94421 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 51| Mato Grosso | 6978
LINESTRING(-55.90991 -12.94422 , -48.72468 -22.27655 )| 35| Sao Paulo | 51| Mato Grosso | 136721
LINESTRING(-55.90992 -12.94423 , -51.62113 -24.63245 )| 41| Parana | 51| Mato Grosso | 252872
LINESTRING(-55.90993 -12.94424 , -50.49239 -27.24414 )| 42| Santa Catarina | 51| Mato Grosso | 45649
LINESTRING(-55.90994 -12.94425 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 51| Mato Grosso | 77640
LINESTRING(-55.90995 -12.94426 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 51| Mato Grosso | 92781
LINESTRING(-55.90996 -12.94427 , -49.61787 -16.03579 )| 52| Goias | 51| Mato Grosso | 111064
LINESTRING(-55.90997 -12.94428 , -47.7973 -15.78271 )| 53| Distrito Federal | 51| Mato Grosso | 4206
LINESTRING(-49.61787 -16.03579 , -62.83912 -10.91219 )| 11| Rondonia | 52| Goias | 5327
LINESTRING(-49.61788 -16.03580 , -70.44996 -9.30596 )| 12| Acre | 52| Goias | 2472
LINESTRING(-49.61789 -16.03581 , -64.69338 -4.18811 )| 13| Amazonas | 52| Goias | 3421
LINESTRING(-49.61790 -16.03582 , -61.39542 2.08035 )| 14| Roraima | 52| Goias | 731
LINESTRING(-49.61791 -16.03583 , -53.08359 -3.94833 )| 15| Para | 52| Goias | 50824
LINESTRING(-49.61792 -16.03584 , -51.93312 1.46375 )| 16| Amapa | 52| Goias | 975
LINESTRING(-49.61793 -16.03585 , -48.31198 -10.1507 )| 17| Tocantins | 52| Goias | 107842
LINESTRING(-49.61794 -16.03586 , -45.27821 -5.07629 )| 21| Maranhao | 52| Goias | 161712
LINESTRING(-49.61795 -16.03587 , -42.96225 -7.36778 )| 22| Piaui | 52| Goias | 89628
LINESTRING(-49.61796 -16.03588 , -39.6022 -5.1071 )| 23| Ceara | 52| Goias | 69124
LINESTRING(-49.61797 -16.03589 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 52| Goias | 33197
LINESTRING(-49.61798 -16.03590 , -36.83167 -7.12048 )| 25| Paraiba | 52| Goias | 43069
LINESTRING(-49.61799 -16.03591 , -37.97914 -8.32349 )| 26| Pernambuco | 52| Goias | 45143
LINESTRING(-49.61800 -16.03592 , -36.62442 -9.51445 )| 27| Alagoas | 52| Goias | 12159
LINESTRING(-49.61801 -16.03593 , -37.44905 -10.58073 )| 28| Sergipe | 52| Goias | 3702
LINESTRING(-49.61802 -16.03594 , -41.70232 -12.46848 )| 29| Bahia | 52| Goias | 218329
LINESTRING(-49.61803 -16.03595 , -44.6785 -18.46074 )| 31| Minas Gerais | 52| Goias | 302813
LINESTRING(-49.61804 -16.03596 , -40.67183 -19.57655 )| 32| Espirito Santo | 52| Goias | 6296
LINESTRING(-49.61805 -16.03597 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 52| Goias | 17795
LINESTRING(-49.61806 -16.03598 , -48.72468 -22.27655 )| 35| Sao Paulo | 52| Goias | 92336
LINESTRING(-49.61807 -16.03599 , -51.62113 -24.63245 )| 41| Parana | 52| Goias | 23063
LINESTRING(-49.61808 -16.03600 , -50.49239 -27.24414 )| 42| Santa Catarina | 52| Goias | 6411
LINESTRING(-49.61809 -16.03601 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 52| Goias | 19999
LINESTRING(-49.61810 -16.03602 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 52| Goias | 13290
LINESTRING(-49.61811 -16.03603 , -55.90972 -12.94403 )| 51| Mato Grosso | 52| Goias | 46452
LINESTRING(-49.61812 -16.03604 , -47.7973 -15.78271 )| 53| Distrito Federal | 52| Goias | 234718
LINESTRING(-47.7973 -15.78271 , -62.83912 -10.91219 )| 11| Rondonia | 53| Distrito Federal | 1968
LINESTRING(-47.7974 -15.78272 , -70.44996 -9.30596 )| 12| Acre | 53| Distrito Federal | 1595
LINESTRING(-47.7975 -15.78273 , -64.69338 -4.18811 )| 13| Amazonas | 53| Distrito Federal | 4957
LINESTRING(-47.7976 -15.78274 , -61.39542 2.08035 )| 14| Roraima | 53| Distrito Federal | 722
LINESTRING(-47.7977 -15.78275 , -53.08359 -3.94833 )| 15| Para | 53| Distrito Federal | 16900
LINESTRING(-47.7978 -15.78276 , -51.93312 1.46375 )| 16| Amapa | 53| Distrito Federal | 1017
LINESTRING(-47.7979 -15.78277 , -48.31198 -10.1507 )| 17| Tocantins | 53| Distrito Federal | 20624
LINESTRING(-47.7980 -15.78278 , -45.27821 -5.07629 )| 21| Maranhao | 53| Distrito Federal | 119995
LINESTRING(-47.7981 -15.78279 , -42.96225 -7.36778 )| 22| Piaui | 53| Distrito Federal | 130416
LINESTRING(-47.7982 -15.78280 , -39.6022 -5.1071 )| 23| Ceara | 53| Distrito Federal | 89912
LINESTRING(-47.7983 -15.78281 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 53| Distrito Federal | 24644
LINESTRING(-47.7984 -15.78282 , -36.83167 -7.12048 )| 25| Paraiba | 53| Distrito Federal | 54791
LINESTRING(-47.7985 -15.78283 , -37.97914 -8.32349 )| 26| Pernambuco | 53| Distrito Federal | 39062
LINESTRING(-47.7986 -15.78284 , -36.62442 -9.51445 )| 27| Alagoas | 53| Distrito Federal | 7083
LINESTRING(-47.7987 -15.78285 , -37.44905 -10.58073 )| 28| Sergipe | 53| Distrito Federal | 4816
LINESTRING(-47.7988 -15.78286 , -41.70232 -12.46848 )| 29| Bahia | 53| Distrito Federal | 131385
LINESTRING(-47.7989 -15.78287 , -44.6785 -18.46074 )| 31| Minas Gerais | 53| Distrito Federal | 199517
LINESTRING(-47.7990 -15.78288 , -40.67183 -19.57655 )| 32| Espirito Santo | 53| Distrito Federal | 7315
LINESTRING(-47.7991 -15.78289 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 53| Distrito Federal | 64569
LINESTRING(-47.7992 -15.78290 , -48.72468 -22.27655 )| 35| Sao Paulo | 53| Distrito Federal | 49967
LINESTRING(-47.7993 -15.78291 , -51.62113 -24.63245 )| 41| Parana | 53| Distrito Federal | 11542
LINESTRING(-47.7994 -15.78292 , -50.49239 -27.24414 )| 42| Santa Catarina | 53| Distrito Federal | 5446
LINESTRING(-47.7995 -15.78293 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 53| Distrito Federal | 21645
LINESTRING(-47.7996 -15.78294 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 53| Distrito Federal | 5382
LINESTRING(-47.7997 -15.78295 , -55.90972 -12.94403 )| 51| Mato Grosso | 53| Distrito Federal | 6556
LINESTRING(-47.7998 -15.78296 , -49.61787 -16.03579 )| 52| Goias | 53| Distrito Federal | 153421
